homogenity,completeness,vscore,nmi,dataset,runtime,algorithm
0.8939583926506417,0.7996532828752924,0.842227398852204,0.842227398852204,News-T,15.998699188232422,textclust-unigram_0.5_
0.9307938075063141,0.7761925762541161,0.8445182070474457,0.8445182070474457,News-T,16.5538113117218,textclust-unigram_1_
0.9405525952181195,0.7523956486832625,0.8339259230605326,0.8339259230605326,News-T,17.503050088882446,textclust-unigram_1.5_
0.9469076604591682,0.7203006241138028,0.8160425751007887,0.8160425751007884,News-T,17.935765027999878,textclust-unigram_2_
0.9584161391427303,0.6902024090372021,0.7997835516568884,0.7997835516568884,News-T,18.84419298171997,textclust-unigram_2.5_
0.9618652938779163,0.6756041897418138,0.7910753558127527,0.7910753558127527,News-T,19.821311235427856,textclust-unigram_3_
0.9638945964361646,0.6491923969811003,0.7725691602687221,0.7725691602687221,News-T,20.7406222820282,textclust-unigram_3.5_
0.9638415572888467,0.6235516237921713,0.7535039990623155,0.7535039990623155,News-T,21.68707299232483,textclust-unigram_4_
0.9671405310209021,0.5972451418326573,0.7341286406796451,0.7341286406796451,News-T,23.129705905914307,textclust-unigram_4.5_
0.9699261336108428,0.5666012303084224,0.7110566611758111,0.7110566611758111,News-T,24.971229791641235,textclust-unigram_5_
0.9534663828972139,0.8641431730259796,0.9031242187404607,0.9031242187404607,Tweets-T,54.186194896698,textclust-unigram_0.5_
0.969478414661642,0.8327944112504155,0.8905021877217422,0.8905021877217421,Tweets-T,56.63178777694702,textclust-unigram_1_
0.9776927471486156,0.8019574085924223,0.8746242824765597,0.8746242824765598,Tweets-T,59.2415931224823,textclust-unigram_1.5_
0.9803374001038833,0.7658930523551108,0.8534725739891557,0.8534725739891557,Tweets-T,62.029282093048096,textclust-unigram_2_
0.9822531533910535,0.7295562039619266,0.8307187795455302,0.8307187795455302,Tweets-T,64.71898865699768,textclust-unigram_2.5_
0.9829353571905998,0.6888023445691219,0.803640920771388,0.803640920771388,Tweets-T,67.81313514709473,textclust-unigram_3_
0.9845598578166304,0.6505268283225114,0.7776425357077781,0.7776425357077781,Tweets-T,72.60547375679016,textclust-unigram_3.5_
0.9849248263689526,0.6114450719490166,0.7482774528006965,0.7482774528006965,Tweets-T,77.92607712745667,textclust-unigram_4_
0.9849962896286532,0.5776328925385573,0.7222248434902249,0.7222248434902249,Tweets-T,84.20352292060852,textclust-unigram_4.5_
0.9859600336304998,0.5509134975818063,0.7008340964672474,0.7008340964672474,Tweets-T,86.12453389167786,textclust-unigram_5_
0.9543024724919914,0.7582838361911424,0.8245199929042056,0.8245199929042056,NT,58.93449425697327,textclust-unigram_0.5_
0.9684918732138244,0.7067208787246532,0.7976457120175882,0.7976457120175879,NT,61.63063097000122,textclust-unigram_1_
0.9735156375333031,0.6498849600540927,0.7597616921325921,0.7597616921325921,NT,65.72983503341675,textclust-unigram_1.5_
0.9763486295098935,0.603304738922971,0.7260374776985831,0.7260374776985831,NT,68.86722421646118,textclust-unigram_2_
0.9761623093057556,0.565315693012943,0.6963072559397668,0.6963072559397668,NT,73.17937517166138,textclust-unigram_2.5_
0.9779338361207485,0.5318534559373405,0.669029120080937,0.669029120080937,NT,78.11854004859924,textclust-unigram_3_
0.9771741359153872,0.4992880168949754,0.6410107602711322,0.6410107602711321,NT,81.83061814308167,textclust-unigram_3.5_
0.9792847687638355,0.4713859095318541,0.6171899155097283,0.6171899155097283,NT,86.66071701049805,textclust-unigram_4_
0.9818283592611805,0.4490717887823966,0.5971536875521178,0.5971536875521178,NT,92.50188899040222,textclust-unigram_4.5_
0.9831256403068723,0.4311406362773648,0.5804060666249379,0.5804060666249379,NT,96.81521368026733,textclust-unigram_5_
0.9046522458957021,0.5828488839624165,0.6680972502993704,0.6680972502993704,NTS,90.82730603218079,textclust-unigram_0.5_
0.9135611944790001,0.5344603561962338,0.6352032936402482,0.6352032936402483,NTS,101.92003011703491,textclust-unigram_1_
0.9087527695268186,0.4901818412802157,0.5986038519974303,0.5986038519974303,NTS,105.9390139579773,textclust-unigram_1.5_
0.9099372286629688,0.45544147508007177,0.570788332896078,0.570788332896078,NTS,110.0111129283905,textclust-unigram_2_
0.9058435602935762,0.42219130386863357,0.5410165963414109,0.5410165963414109,NTS,114.80789875984192,textclust-unigram_2.5_
0.9144606944954717,0.3953545292255503,0.5184695586902681,0.5184695586902681,NTS,120.52250504493713,textclust-unigram_3_
0.9244496798032941,0.3744110423130735,0.5006288883155943,0.5006288883155943,NTS,127.43647122383118,textclust-unigram_3.5_
0.9281738413920564,0.35468595027693695,0.482593518570874,0.482593518570874,NTS,136.65123987197876,textclust-unigram_4_
0.9318981471718274,0.3372082171513443,0.4659526574695222,0.46595265746952225,NTS,143.6001467704773,textclust-unigram_4.5_
0.9380647185380113,0.32282980285526036,0.45208779619749645,0.4520877961974964,NTS,154.09810996055603,textclust-unigram_5_
0.613967416855551,0.9671023605977345,0.7510257197653384,0.7510257197653384,SO-T,297.7882308959961,textclust-unigram_0.5_
0.6466688349565711,0.9685072940106897,0.7754873314075041,0.7754873314075043,SO-T,318.09577107429504,textclust-unigram_1_
0.6757048184340172,0.9696248915893682,0.7963822108791143,0.7963822108791143,SO-T,322.21804308891296,textclust-unigram_1.5_
0.7005817729260622,0.9706750867751192,0.8137688876222765,0.8137688876222765,SO-T,334.0440239906311,textclust-unigram_2_
0.7225165364305617,0.9715147933919251,0.8286788266213696,0.8286788266213696,SO-T,347.82471919059753,textclust-unigram_2.5_
0.7421968085502931,0.9721077986761155,0.8417001063640623,0.8417001063640623,SO-T,356.0835540294647,textclust-unigram_3_
0.7656699148866034,0.9728211091092029,0.8568622400094251,0.8568622400094251,SO-T,368.76765275001526,textclust-unigram_3.5_
0.7874470256498528,0.9732912614565075,0.8705177503959378,0.8705177503959377,SO-T,384.557088136673,textclust-unigram_4_
0.8125550115595537,0.9738310791094485,0.8858692488538421,0.8858692488538421,SO-T,405.38420724868774,textclust-unigram_4.5_
0.8375246612262289,0.9743565398387113,0.9007343345901387,0.9007343345901387,SO-T,417.3247301578522,textclust-unigram_5_
0.9044274407550137,0.5859221613637494,0.7089327053629333,0.7089327053629333,Trends-T,667.7371618747711,textclust-unigram_0.5_
0.9328975529200236,0.5624674160128239,0.6992147158930554,0.6992147158930554,Trends-T,736.4857196807861,textclust-unigram_1_
0.9415454812981614,0.523239047920655,0.6696821575359394,0.6696821575359394,Trends-T,781.0696339607239,textclust-unigram_1.5_
