News-T,Tweets-T,NT,NTS,SO-T,Trends-T
0.5550278440951116,0.5447271829233057,0.45571942162657536,0.3639562270525639,0.9853562795540004,0.4312175129370587
0.5622102047161296,0.5495664844384784,0.4609267646442275,0.36772469519453455,0.985490234520958,0.43250591677252975
0.5775873501205413,0.558973359158526,0.47092361926017884,0.37523722415917354,0.985468855877888,0.43440330955178835
0.6106999931957807,0.583607680632268,0.49207979072375024,0.3900653427175708,0.9845264533123581,0.4380057502373016
0.6717076284779727,0.6283248891842391,0.5340053453029686,0.4191456445791637,0.9791159246739888,0.44587248315720124
0.7374781302272179,0.7170207909861769,0.603854669404423,0.4705389108360269,0.9565017566606355,0.46727468010859935
0.8159107982747119,0.8328781890841375,0.7136242166435314,0.552570990560042,0.8914168266688549,0.5477655692021592
0.8453164679156983,0.8989744656716991,0.8127202830133496,0.6672218660587527,0.8305397355629923,0.6672734750141798
0.8396028603313231,0.9094870903789646,0.847368320658308,0.7166407562790258,0.7730023310269234,0.7165530590775974
0.15112022342166712,0.09192736703354741,0.4606345715960393,0.3177217728256416,0.2952993127392257,0.04610671889440804
