homogenity,completeness,vscore,nmi,dataset,runtime,algorithm
0.8409971561680983,0.7489405429053472,0.7874059207372636,0.7874059207372636,News-T,17.127315998077393,DCSS
0.8939583926506417,0.7996532828752924,0.842227398852204,0.842227398852204,News-T,9.761915922164917,textclust-unigram
0.9018668495837732,0.7984729358939354,0.8451969423972424,0.8451969423972424,News-T,17.14805030822754,textclust-bigram
0.9493220105669491,0.6564317666673084,0.7734297639447295,0.7734297639447295,News-T,2.4005532264709473,EStream
0.8910011380634489,0.7262374651444033,0.7964254367948963,0.7964254367948964,News-T,22.28395175933838,OSDM
0.8748137620278431,0.7913741106082873,0.8293581040224153,0.8293581040224153,News-T,14.727533340454102,DP-BMM
0.8835119532527105,0.7933906201839933,0.8380844683134144,0.8380844683134144,News-T,27.828831434249878,MSTREAM
0.8394681058733157,0.6839758993259637,0.7503381260642766,0.7503381260642769,News-T,26.667418718338013,MSTREAM-RAKIB
0.8847775840535429,0.7191741076672253,0.7903484982224209,0.7903484982224209,Tweets-T,75.33238124847412,DCSS
0.9534663828972139,0.8641431730259796,0.9031242187404607,0.9031242187404607,Tweets-T,32.80332112312317,textclust-unigram
0.9585773801057831,0.8537644678916008,0.8981918806446687,0.8981918806446687,Tweets-T,60.67148518562317,textclust-bigram
0.9656379678435464,0.6597821230024024,0.7800772883665149,0.7800772883665149,Tweets-T,8.461123943328857,EStream
0.9574232784735147,0.6354294945468965,0.7591787432212664,0.7591787432212664,Tweets-T,135.09095883369446,OSDM
0.9132969516404283,0.7648520328628464,0.8282633722234342,0.8282633722234342,Tweets-T,86.30857467651367,DP-BMM
0.909511170787153,0.7982246473384492,0.8459070141962359,0.8459070141962359,Tweets-T,121.61254811286926,MSTREAM
0.9556594559776832,0.5696660123453826,0.7090209016256371,0.7090209016256369,Tweets-T,90.15665459632874,MSTREAM-RAKIB
0.923214854846772,0.7212286513664732,0.7873811841290701,0.7873811841290701,NT,66.08781123161316,DCSS
0.9543024724919914,0.7582838361911424,0.8245199929042056,0.8245199929042056,NT,34.68792724609375,textclust-unigram
0.960710614028503,0.7513383970965803,0.8234588648176827,0.8234588648176827,NT,65.93761992454529,textclust-bigram
0.9750314043591427,0.5788967699712235,0.7086588072797331,0.708658807279733,NT,12.559117078781128,EStream
0.9818039231569616,0.6039969763533375,0.730166357258417,0.730166357258417,NT,101.74691677093506,OSDM
0.9481386489677414,0.6912523977507384,0.7805418221036297,0.7805418221036297,NT,63.46421790122986,DP-BMM
0.9560076473568748,0.6912143042914471,0.7827040071725073,0.7827040071725073,NT,127.95920395851135,MSTREAM
0.9823755098468352,0.49201222472822875,0.6377181775751138,0.6377181775751138,NT,109.72012209892273,MSTREAM-RAKIB
0.8270778186062278,0.6093897784975171,0.6827189406537653,0.6827189406537653,NTS,119.48232913017273,DCSS
0.9046522458957021,0.5828488839624165,0.6680972502993704,0.6680972502993704,NTS,51.44382095336914,textclust-unigram
0.9398119828489585,0.5880855182435537,0.6868014000012272,0.6868014000012272,NTS,95.5384509563446,textclust-bigram
0.9669481123222898,0.4338643609380753,0.556640325854917,0.556640325854917,NTS,22.428580284118652,EStream
0.8996465034705581,0.45766067628122914,0.5729246494682613,0.5729246494682613,NTS,150.84250330924988,OSDM
0.8948550210198993,0.5369365290316558,0.6398417925199903,0.6398417925199903,NTS,94.71590185165405,DP-BMM
0.8852982704707226,0.5354475890042838,0.632485464783683,0.632485464783683,NTS,217.3712055683136,MSTREAM
0.930891606442429,0.3698503800649931,0.50134260921781,0.50134260921781,NTS,167.72663593292236,MSTREAM-RAKIB
0.12147384329851049,0.9270488745768473,0.21107887841254427,0.2110788784125443,SO-T,862.0712451934814,DCSS
0.613967416855551,0.9671023605977345,0.7510257197653384,0.7510257197653384,SO-T,160.59868121147156,textclust-unigram
0.6109451097028433,0.966100298626303,0.7484651063712573,0.7484651063712573,SO-T,328.46002197265625,textclust-bigram
0.68681917278043,0.9640222644864057,0.8020154900874956,0.8020154900874956,SO-T,129.56963086128235,EStream
0.16832815296062686,0.9563692274921499,0.2834513969906166,0.2834513969906166,SO-T,834.7778296470642,OSDM
0.4017792121790647,0.9528199050655084,0.5649992943568439,0.5649992943568438,SO-T,449.86974930763245,DP-BMM
0.3593665036660958,0.94676818274279,0.5200029468441904,0.5200029468441904,SO-T,1332.6854009628296,MSTREAM
0.652025244501497,0.9628460163494047,0.7773458307554157,0.7773458307554157,SO-T,627.6513538360596,MSTREAM-RAKIB
0.026047026686859463,0.08804436774412873,0.03811231762302612,0.03811231762302612,Trends-T,1094.1310119628906,DCSS
0.9044274407550137,0.5859221613637494,0.7089327053629333,0.7089327053629333,Trends-T,408.8553030490875,textclust-unigram
0.9175527510469367,0.5725392510550612,0.7029956674244727,0.7029956674244727,Trends-T,1039.8069860935211,textclust-bigram
0.24421771523053298,0.17592657134275533,0.2026520308210106,0.2026520308210106,Trends-T,606.9286620616913,EStream
0.3868787736400951,0.29841665626989305,0.33510164201983494,0.335101642019835,Trends-T,5293.921747207642,OSDM
0.2293449604288412,0.37534588754922976,0.2813423056662184,0.28134230566621843,Trends-T,1909.3964779376984,DP-BMM
0.5243904196333847,0.47457726629061936,0.49634936006757324,0.4963493600675733,Trends-T,2368.503606081009,MSTREAM
0.5088297287897955,0.5397235250729653,0.5211630804109829,0.5211630804109829,Trends-T,10724.397673368454,MSTREAM-RAKIB
