homogenity,completeness,vscore,nmi,dataset,runtime,algorithm
0.9307938075063141,0.7761925762541161,0.8445182070474457,0.8445182070474457,News-T,15.575068950653076,textclust-unigram
0.935713094765231,0.7712612500767083,0.8434767053508604,0.8434767053508604,News-T,29.557867765426636,textclust-bigram
0.9493220105669491,0.6564317666673084,0.7734297639447295,0.7734297639447295,News-T,3.550844192504883,faststream
0.8910011380634489,0.7262374651444033,0.7964254367948963,0.7964254367948964,News-T,22.28395175933838,OSDM
0.8748137620278431,0.7913741106082873,0.8293581040224153,0.8293581040224153,News-T,14.727533340454102,DP-BMM
0.8835119532527105,0.8033906201839933,0.8380844683134144,0.8380844683134144,News-T,27.828831434249878,MSTREAM
0.8394681058733157,0.6839758993259637,0.7503381260642766,0.7503381260642769,News-T,26.667418718338013,MSTREAM-RAKIB
0.969478414661642,0.8327944112504155,0.8905021877217422,0.8905021877217421,Tweets-T,54.16651368141174,textclust-unigram
0.9740239147079734,0.8203372082534683,0.8851657863107909,0.8851657863107909,Tweets-T,104.92689895629883,textclust-bigram
0.9656379678435464,0.6597821230024024,0.7800772883665149,0.7800772883665149,Tweets-T,10.43502950668335,faststream
0.9574232784735147,0.6354294945468965,0.7591787432212664,0.7591787432212664,Tweets-T,135.09095883369446,OSDM
0.9132969516404283,0.7648520328628464,0.8282633722234342,0.8282633722234342,Tweets-T,86.30857467651367,DP-BMM
0.909511170787153,0.7982246473384492,0.8459070141962359,0.8459070141962359,Tweets-T,121.61254811286926,MSTREAM
0.9556594559776832,0.5696660123453826,0.7090209016256371,0.7090209016256369,Tweets-T,90.15665459632874,MSTREAM-RAKIB
0.9684918732138244,0.7067208787246532,0.7976457120175882,0.7976457120175879,NT,57.615941524505615,textclust-unigram
0.9706185287355402,0.6729126973270507,0.7756856377744605,0.7756856377744605,NT,116.83955502510071,textclust-bigram
0.9750314043591427,0.5788967699712235,0.7086588072797331,0.708658807279733,NT,15.678370952606201,faststream
0.9818039231569616,0.6039969763533375,0.730166357258417,0.730166357258417,NT,101.74691677093506,OSDM
0.9481386489677414,0.6912523977507384,0.7805418221036297,0.7805418221036297,NT,63.46421790122986,DP-BMM
0.9560076473568748,0.6912143042914471,0.7827040071725073,0.7827040071725073,NT,127.95920395851135,MSTREAM
0.9823755098468352,0.49201222472822875,0.6377181775751138,0.6377181775751138,NT,109.72012209892273,MSTREAM-RAKIB
0.9135611944790001,0.5344603561962338,0.6352032936402482,0.6352032936402483,NTS,87.75041484832764,textclust-unigram
0.939714656469482,0.5208249251702611,0.6342159721628836,0.6342159721628835,NTS,170.56286597251892,textclust-bigram
0.9669481123222898,0.4338643609380753,0.556640325854917,0.556640325854917,NTS,28.03347659111023,faststream
0.8996465034705581,0.45766067628122914,0.5729246494682613,0.5729246494682613,NTS,150.84250330924988,OSDM
0.8948550210198993,0.5369365290316558,0.6398417925199903,0.6398417925199903,NTS,94.71590185165405,DP-BMM
0.8852982704707226,0.5354475890042838,0.632485464783683,0.632485464783683,NTS,217.3712055683136,MSTREAM
0.930891606442429,0.3698503800649931,0.50134260921781,0.50134260921781,NTS,167.72663593292236,MSTREAM-RAKIB
0.6466688349565711,0.9685072940106897,0.7754873314075041,0.7754873314075043,SO-T,298.78045296669006,textclust-unigram
0.6661451668700988,0.9685285630054234,0.7893289339588646,0.7893289339588646,SO-T,613.1209752559662,textclust-bigram
0.68681917278043,0.9640222644864057,0.8020154900874956,0.8020154900874956,SO-T,149.311518907547,faststream
0.16832815296062686,0.9563692274921499,0.2834513969906166,0.2834513969906166,SO-T,834.7778296470642,OSDM
0.4017792121790647,0.9528199050655084,0.5649992943568439,0.5649992943568438,SO-T,449.86974930763245,DP-BMM
0.3593665036660958,0.94676818274279,0.5200029468441904,0.5200029468441904,SO-T,1332.6854009628296,MSTREAM
0.652025244501497,0.9628460163494047,0.7773458307554157,0.7773458307554157,SO-T,627.6513538360596,MSTREAM-RAKIB
0.9328975529200236,0.5624674160128239,0.6992147158930554,0.6992147158930554,Trends-T,607.8676106929779,textclust-unigram
0.9295239789125768,0.49122173799628016,0.6407314672393227,0.6407314672393227,Trends-T,1596.3379344940186,textclust-bigram
0.24421771523053298,0.17592657134275533,0.2026520308210106,0.2026520308210106,Trends-T,571.8917489051819,faststream
0.3868787736400951,0.29841665626989305,0.33510164201983494,0.335101642019835,Trends-T,5293.921747207642,OSDM
0.2293449604288412,0.37534588754922976,0.2813423056662184,0.28134230566621843,Trends-T,1909.3964779376984,DP-BMM
0.5243904196333847,0.47457726629061936,0.49634936006757324,0.4963493600675733,Trends-T,2368.503606081009,MSTREAM
0.5088297287897955,0.5397235250729653,0.5211630804109829,0.5211630804109829,Trends-T,10724.397673368454,MSTREAM-RAKIB
